iter	RMSE
0	13.36899136
1	12.78482326
2	11.99742988
3	11.34203667
4	10.69178184
5	10.15652131
6	9.669144782
7	9.336549709
8	8.956841814
9	8.553909824
10	8.157248055
11	7.717083106
12	7.37174075
13	7.039347871
14	6.759577357
15	6.526773544
16	6.296024693
17	6.065417854
18	5.813911775
19	5.586788106
20	5.372200949
21	5.155300663
22	4.964161338
23	4.790906733
24	4.62577458
25	4.495985152
26	4.348513255
27	4.19044036
28	4.071649632
29	3.951921182
30	3.800839414
31	3.693706164
32	3.56799848
33	3.45821901
34	3.351661688
35	3.227108083
36	3.129974247
37	3.025729767
38	2.94360505
39	2.852731721
40	2.774605714
41	2.699242772
42	2.612656013
43	2.540336954
44	2.488108185
45	2.398395229
46	2.342133491
47	2.288892487
48	2.23138518
49	2.176493309
50	2.145694866
51	2.100687512
52	2.036363029
53	2.003029233
54	1.951633857
55	1.914331063
56	1.877340071
57	1.846864615
58	1.807120935
59	1.772160678
60	1.746140722
61	1.698723685
62	1.672577259
63	1.65190142
64	1.626985915
65	1.600302268
66	1.549212743
67	1.527061003
68	1.50391693
69	1.460897684
70	1.432089975
71	1.408602647
72	1.382483633
73	1.364584623
74	1.344217991
75	1.308295875
76	1.288404408
77	1.243619338
78	1.224018657
79	1.203568977
80	1.185453395
81	1.16442052
82	1.146326824
83	1.119876443
84	1.101222693
85	1.075876578
86	1.045845033
87	1.032302488
88	1.019427198
89	1.004319789
90	0.9924330758
91	0.9693717909
92	0.9514383238
93	0.9407397256
94	0.9279096279
95	0.9084921729
96	0.898836526
97	0.8849111602
98	0.8690153483
99	0.8416940709
100	0.8299733741
101	0.8188416238
102	0.7982368296
103	0.7883518508
104	0.7789356591
105	0.7617375242
106	0.7511725972
107	0.7293519948
108	0.7204204951
109	0.7033234642
110	0.6949813781
111	0.687286498
112	0.6689462796
113	0.6534241875
114	0.636585971
115	0.6182191896
116	0.6017585483
117	0.5856513931
118	0.5723592487
119	0.5572452365
120	0.5431564972
121	0.5373194929
122	0.5243366571
123	0.512243943
124	0.5069194784
125	0.4929240347
126	0.4879608163
127	0.4831984544
128	0.4790801708
129	0.4746593061
130	0.4608507526
131	0.4492221042
132	0.4455801717
133	0.4420937392
134	0.431278016
135	0.4197386299
136	0.4164506364
137	0.4082077066
138	0.4002120851
139	0.3914108792
140	0.3832315839
141	0.3735091471
142	0.366495253
143	0.3632795208
144	0.3564276225
145	0.3494725667
146	0.3407264266
147	0.3380958578
148	0.3355796752
149	0.3296777791
150	0.319939156
151	0.3175630733
152	0.3092668518
153	0.3069815025
154	0.299689193
155	0.2921163557
156	0.2899410764
157	0.2854369878
158	0.2795180972
159	0.2726441054
160	0.2706419076
161	0.2664236511
162	0.2611923603
163	0.2550698124
164	0.2494995294
