exchange,exchangename,scripcode,scripshortname
2,NSEFO,148792,POLYCAB
2,NSEFO,148793,POLYCAB
2,NSEFO,148794,POLYCAB
2,NSEFO,148795,POLYCAB
2,NSEFO,148796,POLYCAB
2,NSEFO,148923,NESTLEIND
2,NSEFO,148924,NESTLEIND
2,NSEFO,151935,OFSS
2,NSEFO,151936,OFSS
2,NSEFO,151937,OFSS
2,NSEFO,151938,OFSS
2,NSEFO,151939,OFSS
2,NSEFO,151940,OFSS
2,NSEFO,151941,OFSS
2,NSEFO,151942,OFSS
2,NSEFO,151943,OFSS
2,NSEFO,151944,OFSS
2,NSEFO,151945,OFSS
2,NSEFO,151946,OFSS
2,NSEFO,151947,OFSS
2,NSEFO,151948,OFSS
2,NSEFO,151949,OFSS
2,NSEFO,151950,OFSS
2,NSEFO,151951,OFSS
2,NSEFO,151952,OFSS
2,NSEFO,151953,OFSS
2,NSEFO,151954,OFSS
2,NSEFO,151955,OFSS
2,NSEFO,151974,OFSS
2,NSEFO,151975,OFSS
2,NSEFO,151976,OFSS
2,NSEFO,151977,OFSS
2,NSEFO,151978,OFSS
2,NSEFO,151979,OFSS
2,NSEFO,151980,OFSS
2,NSEFO,151981,OFSS
2,NSEFO,151982,OFSS
2,NSEFO,151983,OFSS
2,NSEFO,151984,OFSS
2,NSEFO,168770,SBICARD
2,NSEFO,168771,SBICARD
2,NSEFO,168772,SBICARD
2,NSEFO,168773,SBICARD
2,NSEFO,168774,SBICARD
2,NSEFO,168775,SBICARD
2,NSEFO,168776,SBICARD
2,NSEFO,168777,SBICARD
2,NSEFO,168778,SBICARD
2,NSEFO,168779,SBICARD
2,NSEFO,168780,SBICARD
2,NSEFO,168781,SBICARD
2,NSEFO,168782,SBICARD
2,NSEFO,168783,SBICARD
2,NSEFO,168784,SBICARD
2,NSEFO,168785,SBICARD
2,NSEFO,168786,SBICARD
2,NSEFO,168787,SBICARD
2,NSEFO,168788,SBICARD
2,NSEFO,168789,SBICARD
2,NSEFO,168790,SBICARD
2,NSEFO,168791,SBICARD
2,NSEFO,168792,SBICARD
2,NSEFO,168793,SBICARD
2,NSEFO,168794,SBICARD
2,NSEFO,168795,SBICARD
2,NSEFO,168796,SBICARD
2,NSEFO,168797,SBICARD
2,NSEFO,168798,SBICARD
2,NSEFO,168799,SBICARD
2,NSEFO,168800,SBICARD
2,NSEFO,168164,RECLTD
2,NSEFO,168165,RECLTD
2,NSEFO,168166,RECLTD
2,NSEFO,168167,RECLTD
2,NSEFO,168168,RELIANCE
2,NSEFO,168169,RELIANCE
2,NSEFO,168170,RELIANCE
2,NSEFO,168171,RELIANCE
2,NSEFO,168172,RELIANCE
2,NSEFO,168173,RELIANCE
2,NSEFO,168174,RELIANCE
2,NSEFO,168175,RELIANCE
2,NSEFO,168176,RELIANCE
2,NSEFO,168177,RELIANCE
2,NSEFO,168178,RELIANCE
2,NSEFO,168179,RELIANCE
2,NSEFO,168180,RELIANCE
2,NSEFO,168181,RELIANCE
2,NSEFO,168182,RELIANCE
2,NSEFO,168183,RELIANCE
2,NSEFO,168184,RELIANCE
2,NSEFO,168185,RELIANCE
2,NSEFO,168186,RELIANCE
2,NSEFO,168187,RELIANCE
2,NSEFO,168188,RELIANCE
2,NSEFO,168189,RELIANCE
2,NSEFO,168190,RELIANCE
2,NSEFO,168191,RELIANCE
2,NSEFO,168192,RELIANCE
2,NSEFO,168193,RELIANCE
2,NSEFO,168194,RELIANCE
2,NSEFO,52416,BANKBARODA
2,NSEFO,52417,BANKBARODA
2,NSEFO,52418,MIDCPNIFTY
2,NSEFO,52419,MIDCPNIFTY
2,NSEFO,169481,SHREECEM
2,NSEFO,169482,SHREECEM
2,NSEFO,169483,SHREECEM
2,NSEFO,169484,SHREECEM
2,NSEFO,169485,SHREECEM
2,NSEFO,169486,SHREECEM
2,NSEFO,169487,SHREECEM
2,NSEFO,169488,SHREECEM
2,NSEFO,169489,SHREECEM
2,NSEFO,169490,SHREECEM
2,NSEFO,169491,SHREECEM
2,NSEFO,169492,SHREECEM
2,NSEFO,169493,SHREECEM
2,NSEFO,169494,SHREECEM
2,NSEFO,169495,SHREECEM
2,NSEFO,169496,SHREECEM
2,NSEFO,169497,SHREECEM
2,NSEFO,169498,SHREECEM
2,NSEFO,169499,SHREECEM
2,NSEFO,169500,SHREECEM
2,NSEFO,169501,SHREECEM
2,NSEFO,169502,SHREECEM
2,NSEFO,169503,SHREECEM
2,NSEFO,169504,SHREECEM
2,NSEFO,169505,SHREECEM
2,NSEFO,169506,SHREECEM
2,NSEFO,150955,NTPC
2,NSEFO,150956,NTPC
2,NSEFO,150957,NTPC
2,NSEFO,150958,NTPC
2,NSEFO,150959,NTPC
2,NSEFO,150960,NTPC
2,NSEFO,150961,NTPC
2,NSEFO,150962,NTPC
2,NSEFO,150963,NTPC
2,NSEFO,150964,NTPC
2,NSEFO,150965,NTPC
2,NSEFO,150966,NTPC
2,NSEFO,150967,NTPC
2,NSEFO,150968,NTPC
2,NSEFO,150969,NTPC
2,NSEFO,150970,NTPC
2,NSEFO,150971,NTPC
2,NSEFO,150972,NTPC
2,NSEFO,150973,NTPC
2,NSEFO,150974,NTPC
2,NSEFO,150975,NTPC
2,NSEFO,150976,NTPC
2,NSEFO,150977,NTPC
2,NSEFO,150978,NTPC
2,NSEFO,150979,NTPC
2,NSEFO,150980,NTPC
2,NSEFO,150981,NTPC
2,NSEFO,150982,NTPC
2,NSEFO,150983,NTPC
2,NSEFO,151074,NTPC
2,NSEFO,151075,NTPC
2,NSEFO,151076,NTPC
2,NSEFO,148925,NESTLEIND
2,NSEFO,148926,NESTLEIND
2,NSEFO,148927,NESTLEIND
2,NSEFO,148928,NESTLEIND
2,NSEFO,148929,NESTLEIND
2,NSEFO,148930,NESTLEIND
2,NSEFO,148931,NESTLEIND
2,NSEFO,148932,NESTLEIND
2,NSEFO,148933,NESTLEIND
2,NSEFO,148934,NESTLEIND
2,NSEFO,148935,NESTLEIND
2,NSEFO,148936,NESTLEIND
2,NSEFO,148937,NESTLEIND
2,NSEFO,148938,NESTLEIND
2,NSEFO,148939,NESTLEIND
2,NSEFO,148940,NESTLEIND
2,NSEFO,51548,DRREDDY
2,NSEFO,51549,DRREDDY
2,NSEFO,51550,DRREDDY
2,NSEFO,51551,POWERGRID
2,NSEFO,51552,POWERGRID
2,NSEFO,51563,EXIDEIND
2,NSEFO,149067,NESTLEIND
2,NSEFO,149068,NESTLEIND
2,NSEFO,149069,NESTLEIND
2,NSEFO,149070,NESTLEIND
2,NSEFO,149071,NESTLEIND
2,NSEFO,149072,NESTLEIND
2,NSEFO,149073,NESTLEIND
